test_name,median
thread_times.tough_compositor_cases.reference,300.2349998950958
thread_times.tough_scrolling_cases,758.7710001468658
thread_times.tough_scrolling_cases.reference,770.3529999256134
tracing.tracing_with_background_memory_infra,152.32100009918213
tracing.tracing_with_background_memory_infra.reference,8.883872985839844
tracing.tracing_with_debug_overhead,274.45099997520447
tracing.tracing_with_debug_overhead.reference,257.7130000591278
tracing_perftests,44.72094202041626
v8.browsing_desktop,2247.412614107132
v8.browsing_desktop.reference,2256.1310000419617
v8.browsing_desktop_classic,2275.8970210552216
v8.browsing_desktop_classic.reference,2292.7839999198914
v8.browsing_mobile,2572.8765048980713
v8.browsing_mobile.reference,1874.5626459121704
v8.browsing_mobile_classic,2542.586219072342
v8.browsing_mobile_classic.reference,2148.413798093796
v8.detached_context_age_in_gc,62.50800013542175
v8.detached_context_age_in_gc.reference,66.5019998550415
v8.infinite_scroll-classic_tbmv2,980.0520000457764
v8.infinite_scroll-classic_tbmv2.reference,648.3768630027771
v8.infinite_scroll_tbmv2,893.9630000591278
v8.infinite_scroll_tbmv2.reference,643.2669999599457
v8.mobile_infinite_scroll-classic_tbmv2,619.4714090824127
v8.mobile_infinite_scroll-classic_tbmv2.reference,568.5588800907135
v8.mobile_infinite_scroll_tbmv2,633.1638441085815
v8.mobile_infinite_scroll_tbmv2.reference,557.7644717693329
v8.runtime_stats.top_25,5.497999906539917
v8.runtime_stats.top_25.reference,8.440999984741211
v8.runtimestats.browsing_desktop,2198.2808640003204
v8.runtimestats.browsing_desktop.reference,2287.423155784607
v8.runtimestats.browsing_desktop_classic,2288.2927491664886
v8.runtimestats.browsing_desktop_classic.reference,2372.604649066925
v8.runtimestats.browsing_mobile,2682.4724628925323
v8.runtimestats.browsing_mobile.reference,1910.4511849880219
v8.runtimestats.browsing_mobile_classic,2703.7209651470184
v8.runtimestats.browsing_mobile_classic.reference,2107.553076982498
webrtc,321.76515197753906
webrtc.peerconnection,55.35800004005432
webrtc.peerconnection.reference,67.36299991607666
webrtc.reference,458.13701915740967
webrtc.webrtc_smoothness,244.7409999370575
webrtc.webrtc_smoothness.reference,14.381999969482422
